Date,Close/Last,Volume,Open,High,Low
08/08/2022,207.87,3024174,208.62,210.17,207.27
08/05/2022,207.68,2758913,205.69,208.0799,205.5
08/04/2022,207.75,2261824,207.94,208.25,206.91
08/03/2022,207.95,2827053,205.92,208.5252,205.7401
08/02/2022,204.66,3020876,205,207.0412,203.88
08/01/2022,205.77,3531547,204.97,207.036,204.29
07/29/2022,206.25,3342437,204.17,206.78,203.6
07/28/2022,203.48,2670669,201.02,203.725,199.333
07/27/2022,200.86,2902247,197.51,201.72,197.31
07/26/2022,195.72,2918479,197.29,197.325,195.28
07/25/2022,198.17,2997086,198.34,198.6,196.99
07/22/2022,197.9,2717357,200,200.8,196.73
07/21/2022,200.07,2929346,197.63,200.07,196.455
07/20/2022,198.11,3332375,196.43,198.7492,195.99
07/19/2022,196.52,3287492,193.27,196.72,192.99
07/18/2022,191.18,3974151,194.29,194.77,190.54
07/15/2022,192.51,2914570,191.19,192.55,189.98
07/14/2022,188.84,3355628,187.28,189.19,185.58
07/13/2022,189.68,3322439,187.79,191.09,187.39
07/12/2022,190.51,2640302,192,193.2387,189.6
07/11/2022,192.17,3033759,193.38,193.75,191.81
07/08/2022,194.63,2799217,194.06,195.6989,193.01
07/07/2022,194.83,2919254,192.63,195.22,192.59
07/06/2022,191.67,2980975,191.29,192.9,189.88
07/05/2022,191.29,3986078,188.36,191.31,186.36
07/01/2022,190.61,3223085,188.19,190.87,186.9
06/30/2022,188.62,4250256,188,190.31,186.13
06/29/2022,190.26,4155823,190.79,191.1799,189.18
06/28/2022,190.58,6018574,195.44,196.85,190.56
06/27/2022,194.59,5950393,195.63,196.01,193.9039
06/24/2022,195.19,3856396,190.92,195.22,190.59
06/23/2022,189.08,6675843,188.13,189.57,186.46
06/22/2022,188.13,7321298,185.91,189.9499,185.6205
06/21/2022,188.16,6103401,186.69,189.03,186.69
06/17/2022,183.71,5252732,183.26,185.405,181.8
06/16/2022,183.02,8225100,185.38,185.68,181.6701
06/15/2022,189.64,5011669,188.61,192.1299,186.18
06/14/2022,186.92,7045850,188.51,189.05,185.27
06/13/2022,187.45,10468320,190.65,191.18,186.68
06/10/2022,195.43,5703756,198.39,198.39,195.36
06/09/2022,201.41,3061139,205.42,206.33,201.38
06/08/2022,206.35,2187178,207.93,208.7,205.91
06/07/2022,208.69,3350475,204.63,208.88,204.351
06/06/2022,206.45,2745450,208.12,208.785,205.91
06/03/2022,205.84,2694121,206.68,207.605,205.3
06/02/2022,209.18,2977799,205,209.2,204
06/01/2022,205,3087840,207.67,208.315,203.46
05/31/2022,206.36,4100924,207.17,208.35,205.19
05/27/2022,208.07,4381082,204.27,208.09,204.18
05/26/2022,202.93,4216682,199.4,203.8,199.37
05/25/2022,198.86,4921925,195.95,199.86,195.7782
05/24/2022,196.67,4788715,196.57,197.3,193.319
05/23/2022,198.66,5017991,196.65,199.15,195.46
05/20/2022,195.32,5153289,197.04,197.54,190.66
05/19/2022,195.32,5710913,194.49,197.66,193.875
05/18/2022,196.19,4712206,201.82,202.02,195.44
05/17/2022,204.18,3954519,203.38,204.2599,201.16
05/16/2022,199.91,4479431,200.39,201.86,198.86
05/13/2022,200.9,4543150,197.91,201.75,197.74
05/12/2022,195.66,7964939,194.06,197.59,192.12
05/11/2022,195.45,6365535,198.59,201.6347,195.15
05/10/2022,199.05,7604985,201.89,202.71,196.55
05/09/2022,198.65,9551391,203,203.3816,197.86
05/06/2022,205.95,5193865,206.42,207.82,203.1073
05/05/2022,207.62,5186663,213.29,213.39,205.455
05/04/2022,215.57,3870646,209.72,215.91,207.692
05/03/2022,209.43,3901750,208.49,210.61,207.88
05/02/2022,208.44,10630490,207.15,209.13,203.71
04/29/2022,206.88,7330456,212.9,214.31,206.71
04/28/2022,214.77,3767703,211.88,215.75,209.45
04/27/2022,209.66,4955886,209.85,212.4,208.55
04/26/2022,209.25,6891128,214.26,214.4073,209.25
04/25/2022,215.39,9271765,213.07,215.7,210.79
04/22/2022,214.22,6361435,219.73,219.73,214.02
04/21/2022,220.22,3172082,225.7,226.68,219.7
04/20/2022,223.88,2933209,225,225.5176,223.4
04/19/2022,224.17,2631238,220.23,224.6,220.23
04/18/2022,220.29,3674362,220.41,221.29,219.1513
04/14/2022,220.67,2465507,223.58,224.209,220.61
04/13/2022,223.39,2404612,220.51,223.785,220.27
04/12/2022,220.5,3164196,222.86,224.5,219.74
04/11/2022,221.18,2942240,223.17,223.57,221
04/08/2022,224.69,2954839,224.98,226.35,223.91
04/07/2022,225.39,4347542,224.2,226.44,222.6372
04/06/2022,224.54,4121968,225.03,225.84,222.9401
04/05/2022,227.15,3268845,229.89,230.88,226.58
04/04/2022,230.52,3241105,228.86,230.54,228.38
04/01/2022,228.58,3456406,228.66,228.75,226.63
03/31/2022,227.67,4087002,230.68,231.32,227.61
03/30/2022,231.16,3436440,232.39,232.81,230.03
03/29/2022,233.05,4470472,231.42,233.36,230.45
03/28/2022,229.57,6799449,228.03,229.57,226.48
03/25/2022,228.09,3851908,227.57,228.25,225.9
03/24/2022,227.12,2375108,225.01,227.19,224.3335
03/23/2022,223.93,2695449,225.73,226.5,223.93
03/22/2022,227.73,3269345,225.78,228.15,225.595
03/21/2022,224.97,2802236,225.44,226.2,223.065
03/18/2022,225.18,3425055,221.99,225.45,221.43
03/17/2022,222.58,6570052,218.53,222.6,218.28
03/16/2022,219.64,4863538,216.36,219.64,213.99
03/15/2022,214.28,6490951,211,214.64,210.5
03/14/2022,209.9,6284174,212.28,213.81,209.27
03/11/2022,211.99,5510961,216.32,216.54,211.7
03/10/2022,214.91,5271254,213.77,215.35,212.3
03/09/2022,215.88,4558389,214.67,216.91,213.57
03/08/2022,210.05,6132218,211.07,215.49,209.2826
03/07/2022,211.24,7953356,217.68,217.92,211.22
03/04/2022,217.96,4536101,218.21,218.61,215.85
03/03/2022,220.16,4161744,222.54,223.09,219.19
03/02/2022,221.85,3884898,219,222.61,218.421
03/01/2022,217.72,4764986,220.62,221.49,216.33
02/28/2022,221.17,4219782,219.25,222.06,218.25
02/25/2022,221.41,4615081,217.28,221.44,216.16
02/24/2022,216.59,10471040,207.64,216.85,207
02/23/2022,212.86,7684541,218.57,218.825,212.57
02/22/2022,216.85,7748880,218.11,220.08,215.06
02/18/2022,219.37,7007895,221.14,221.99,218.2102
02/17/2022,221.14,5784633,224.41,224.7,220.715
02/16/2022,226.28,4812386,225,226.88,223.8138
02/15/2022,226.07,4407540,224.58,226.17,224.4
02/14/2022,222.12,4402059,222.52,223.55,220.3
02/11/2022,222.94,4839824,227.38,228.5,222.01
02/10/2022,227.35,3511241,228.16,231.81,226.14
02/09/2022,231.27,3698680,229.86,231.3,229.595
02/08/2022,227.57,3075478,225.27,228.05,224.48
02/07/2022,225.5,2757317,226.48,227.38,224.84
02/04/2022,226.07,3585291,224.83,227.99,223.32
02/03/2022,224.58,4217696,226.81,227.93,224.1325
02/02/2022,230.05,4048246,229.89,230.4384,227.99
02/01/2022,228.54,4697648,227.94,228.93,225.14
01/31/2022,226.81,5306436,222.09,226.95,221.22
01/28/2022,222.09,4961209,217.5,222.17,214.93
01/27/2022,216.75,5791524,220.81,222.4,215.9
01/26/2022,218.37,7096416,222.72,224.16,216.05
01/25/2022,219.22,6600378,219.1,222.015,215.64
01/24/2022,222.33,22010120,217.99,222.57,212.1
01/21/2022,220.91,8582608,224.62,226.09,220.825
01/20/2022,225.37,5175143,229.13,231.91,225.14
01/19/2022,228.03,4868091,231.22,232.16,227.9
01/18/2022,230.45,6514691,232.5,232.7,229.94
01/14/2022,235.02,3829926,233.5,235.13,232.31
01/13/2022,234.93,4049253,239.18,239.4,234.48
01/12/2022,238.42,4033137,239.04,239.85,237.31
01/11/2022,238.05,3524791,235.71,238.11,234.09
01/10/2022,235.7,5819550,234.21,235.84,230.97
01/07/2022,236.11,3580217,237.19,238.07,235.32
01/06/2022,237.19,4519248,237.2,238.7744,235.5423
01/05/2022,237.25,4878333,242.08,242.66,237.2048
01/04/2022,242.51,4216978,243.73,244.058,241.35
01/03/2022,242.97,4204016,242.42,242.97,240.8576
12/31/2021,241.44,3499916,242.09,242.6926,241.44
12/30/2021,242.21,4501528,243.11,243.69,242
12/29/2021,242.6,3044289,242.55,243.16,241.71
12/28/2021,242.46,3962146,243.06,243.78,242.042
12/27/2021,242.96,4395779,240.48,242.96,240.34
12/23/2021,240.67,2925146,239.87,241.355,239.5
12/22/2021,239.02,3202945,236.63,239.1,236.5501
12/21/2021,236.68,4158836,234.19,236.84,233.22
12/20/2021,232.13,5839757,232.1,232.35,230.07
12/17/2021,235.44,4453956,235,237.16,233.34
12/16/2021,236.52,3876065,240.29,240.4865,235.66
12/15/2021,239.2,3720706,235.56,239.248,233.85
12/14/2021,235.57,3360383,235.45,236.86,234.05
12/13/2021,237.35,5839127,239.5,239.6,237.135
12/10/2021,239.53,2610844,239.42,239.87,237.57
12/09/2021,237.91,2853758,239.52,239.9,237.782
12/08/2021,240.2,3417403,239.57,240.38,238.64
12/07/2021,239.17,4284716,237.56,239.7,237.34
12/06/2021,234.16,4210580,232.61,235.18,230.95
12/03/2021,231.19,5821948,234.83,235.27,229.02
12/02/2021,233.9,4257385,230.21,234.68,230.09
12/01/2021,230.16,5280502,236.41,237.8673,229.88
11/30/2021,233.45,7231373,236.99,237.73,233.1
11/29/2021,238.21,4789187,238.48,239.28,236.52
11/26/2021,235.99,5730319,237.24,238.1,234.94
11/24/2021,241.21,2195423,239.14,241.21,238.6251
11/23/2021,240.4,3827112,240.1,241.1,238.2364
11/22/2021,240.32,3903603,242.34,243.6,240.25
11/19/2021,241.48,3354681,242.09,242.62,241.3302
11/18/2021,242.17,3508794,242.3,242.44,240.52
11/17/2021,241.79,2809299,242.6,242.6,241.43
11/16/2021,242.79,2947360,241.66,243.33,241.41
11/15/2021,241.75,3630715,242.44,242.67,241.14
11/12/2021,241.75,2419879,240.64,242.04,240.212
11/11/2021,239.97,2277075,240.67,240.758,239.955
11/10/2021,239.68,3356536,241.14,241.96,238.73
11/09/2021,242.06,2764135,243.04,243.14,241.19
11/08/2021,242.76,3401397,243.17,243.56,242.43
11/05/2021,242.36,3919399,242.75,243.51,241.39
11/04/2021,241.43,3557018,241.03,241.801,240.53
11/03/2021,240.52,3704418,238.69,240.73,238.295
11/02/2021,238.83,4005140,238.32,238.93,237.91
11/01/2021,238.09,3967507,237.75,238.12,236.72
10/29/2021,236.91,3565904,235.48,237.13,235.37
10/28/2021,236.6,2104898,234.94,236.6,234.7819
10/27/2021,234.1,3409633,236.05,236.08,233.99
10/26/2021,235.71,2759904,236.65,237.19,235.46
10/25/2021,235.8,2170066,235.07,235.96,234.1
10/22/2021,234.36,2144779,234.6,235.31,233.315
10/21/2021,234.81,2839751,233.91,234.95,233.6714
10/20/2021,234.17,2838391,233.55,234.349,233.39
10/19/2021,233.26,2683112,232.5,233.28,232.11
10/18/2021,231.57,3078252,230.07,231.66,229.45
10/15/2021,230.73,2718071,230.69,231.16,230.27
10/14/2021,229.37,2689701,227.71,229.43,227.5
10/13/2021,225.62,3179840,225.17,226.03,223.65
10/12/2021,224.6,2898446,225.31,225.7,224.16
10/11/2021,224.76,2354945,226.07,227.59,224.68
10/08/2021,226.39,1922568,227.4,227.5516,226.02
10/07/2021,226.89,3081323,226.5,228.36,226.11
10/06/2021,224.73,3076020,221.89,224.81,220.98
10/05/2021,223.8,3568211,222.43,224.985,222.1
10/04/2021,221.73,4983982,224.24,224.4,220.5417
10/01/2021,225.12,5148618,223.1,225.63,221.02
09/30/2021,222.06,5084013,225.35,228.4,221.94
09/29/2021,224.49,4585452,225.22,225.99,224.28
09/28/2021,224.34,5078645,227.65,227.79,224.05
09/27/2021,229.14,2856698,229.16,229.87,228.51
09/24/2021,229.64,3122838,228.55,229.945,228.1921
09/23/2021,230.09,3778143,228.44,230.945,228.05
09/22/2021,227.32,4187319,226.33,228.43,225.83
09/21/2021,225.05,4564393,226.51,227.03,224.4619
09/20/2021,225.07,7749278,225.51,226.308,222.31
09/17/2021,229.04,3078186,230.54,230.83,228.65
09/16/2021,230.89,2537174,230.94,231.52,229.3
09/15/2021,231.1,2598871,229.42,231.34,228.715
09/14/2021,229.21,3158875,231.41,231.49,228.6201
09/13/2021,230.6,3312726,231.51,231.7353,229.33
09/10/2021,230.08,3385627,233.03,233.19,229.96
09/09/2021,231.92,3265898,232.67,233.65,231.75
