City,State,2021 estimate,2020 census,Change (%),2020 land area (square miles),2020 population density (people per square mile),Location
New York,New York,8467513,8804190,-3.82,300.5,29298,40°39′N 73°55′W
Los Angeles,California,3849297,3898747,-1.27,469.5,8304,34°01′N 118°25′W
Chicago,Illinois,2696555,2746388,-1.81,227.7,12061,41°50′N 87°41′W
Houston,Texas,2288250,2304580,-0.71,640.4,3599,29°47′N 95°23′W
Phoenix,Arizona,1624569,1608139,1.02,518.0,3105,33°34′N 112°05′W
Philadelphia,Pennsylvania,1576251,1603797,-1.72,134.4,11933,40°00′N 75°08′W
San Antonio,Texas,1451853,1434625,1.2,498.8,2876,29°28′N 98°31′W
San Diego,California,1381611,1386932,-0.38,325.9,4256,32°49′N 117°08′W
Dallas,Texas,1288457,1304379,-1.22,339.6,3841,32°47′N 96°46′W
San Jose,California,983489,1013240,-2.94,178.3,5683,37°17′N 121°49′W
Austin,Texas,964177,961855,0.24,319.9,3007,30°18′N 97°45′W
Jacksonville,Florida,954614,949611,0.53,747.3,1271,30°20′N 81°40′W
Fort Worth,Texas,935508,918915,1.81,342.9,2646,32°47′N 97°20′W
Columbus,Ohio,906528,905748,0.09,220.0,4117,39°59′N 82°59′W
Indianapolis,Indiana,882039,887642,-0.63,361.6,2455,39°46′N 86°08′W
Charlotte,North Carolina,879709,874579,0.59,308.3,2837,35°12′N 80°50′W
San Francisco,California,815201,873965,-6.72,46.9,18635,37°43′N 123°02′W
Seattle,Washington,733919,737015,-0.42,83.8,8795,47°37′N 122°21′W
Denver,Colorado,711463,715522,-0.57,153.1,4674,39°46′N 104°53′W
Oklahoma City,Oklahoma,687725,681054,0.98,606.2,1123,35°28′N 97°31′W
Nashville,Tennessee,678851,689447,-1.54,475.8,1449,36°10′N 86°47′W
El Paso,Texas,678415,678815,-0.06,258.4,2627,31°50′N 106°25′W
Washington,District of Columbia,670050,689545,-2.83,61.1,11286,38°54′N 77°01′W
Boston,Massachusetts,654776,675647,-3.09,48.3,13989,42°20′N 71°01′W
Las Vegas,Nevada,646790,641903,0.76,141.8,4527,36°13′N 115°16′W
Portland,Oregon,641162,652503,-1.74,133.5,4888,45°32′N 122°39′W
Detroit,Michigan,632464,639111,-1.04,138.7,4608,42°23′N 83°06′W
Louisville,Kentucky,628594,633045,-0.7,324.9,1948,38°10′N 85°38′W
Memphis,Tennessee,628127,633104,-0.79,297.0,2132,35°06′N 89°58′W
Baltimore,Maryland,576498,585708,-1.57,80.9,7240,39°18′N 76°37′W
Milwaukee,Wisconsin,569330,577222,-1.37,96.2,6000,43°04′N 87°58′W
Albuquerque,New Mexico,562599,564559,-0.35,187.3,3014,35°06′N 106°38′W
Fresno,California,544510,542107,0.44,115.2,4706,36°47′N 119°47′W
Tucson,Arizona,543242,542629,0.11,241.0,2252,32°09′N 110°52′W
Sacramento,California,525041,524943,0.02,98.6,5324,38°34′N 121°28′W
Mesa,Arizona,509475,504258,1.03,138.7,3636,33°24′N 111°43′W
Kansas City,Missouri,508394,508090,0.06,314.7,1615,39°07′N 94°33′W
Atlanta,Georgia,496461,498715,-0.45,135.3,3686,33°46′N 84°25′W
Omaha,Nebraska,487300,486051,0.26,133.2,3433,41°16′N 96°02′W
Colorado Springs,Colorado,483956,478961,1.04,195.4,2451,38°52′N 104°46′W
Raleigh,North Carolina,469124,467665,0.31,145.1,3179,35°50′N 78°38′W
Virginia Beach,Virginia,457672,459470,-0.39,244.7,1878,36°47′N 76°01′W
